Ville par année	1894	1895	1896	1897	1898	1902	1904	1906	Total général
Paris	109	206	181	177	238	232	331	277	1751
London	46	70	67	79	27	14	13	46	362
Vienna	52	55	23	31	69				230
City of Brussels	14	17	46	9	9	40	31	20	186
New York City	14	12	14	8	7	8	23	18	104
Tours	14	6	24	3	11		11	8	77
Lille	4	7	14	7	7	11	18	8	76
Philadelphia	16	6	7	4	8	8	25		74
Ghent		6	8	13	5	9	8	5	54
Boulogne-sur-Mer	6	10	10	7	14	1	4	1	53
Nancy		6	6	7	8	3	20		50
Edinburgh	5	4	8	5	8	11	5	3	49
Glasgow	16	7	8	5	3	2		4	45
Geneva	27	5	5	3	3	1			44
Birmingham		7	9	13	15				44
Marseille					1	12	10	21	44
Neuilly-sur-Seine	3		12	3	4	2	5	13	42
Berlin	4	2	2	23	7		3		41
Antwerp	4	2	16	8	7	2			39
Hamburg			1		38				39
Guildford	3	7	13	9	6				38
Rennes				1			12	17	30
Versailles	2		9	3	6	6	3		29
Washington, D.C.			9	5	14				28
Amsterdam	2	15		1		3	3	2	26
Lacanche	7	6	6	5				2	26
Bordeaux				2	2	3	6	11	24
Yonkers	7	7	7						21
Krefeld		3	5	3	6	3			20
Douai	3	4	4	1	2	1	3	1	19
Saint-Claude						7	6	6	19
Dresden		4	8	3		4			19
Royal Tunbridge Wells	2	4	5	3	2	2			18
Aix-en-Provence						5	6	6	17
Magny-en-Vexin		4	5	4	3				16
Saint Petersburg	9	5			2				16
Arlon		1	1	2	1	3	2	6	16
Arnhem	3	7		5		1			16
Le Vésinet	2	4	4			4	2		16
Caen	1	3	4	3	2	1		2	16
Rome	4	10						1	15
Nice	1					5	4	5	15
Fontenay-sous-Bois		1				3	6	4	14
Redhill	6		4	4					14
Hohenau an der March		3	3		8				14
Rouen	3	3	1		1	2		3	13
Copenhagen						8	5		13
Le Mans						4	5	4	13
East Molesey					5	5	2	1	13
Châteauroux	3	4	5	1					13
Boston						11	2		13
Sainte-Catherine	2	2	2	1	2	2	1	1	13
Chicago							12		12
Sheffield	4	3	4		1				12
Innsbruck				2	10				12
Albany				7	4				11
Gilly						5	6		11
Naples	5	5					1		11
Newark							5	6	11
Morlaix						4	3	4	11
Zürich		1				6	2	2	11
Turin							8	3	11
La Fère						6	2	3	11
Vincennes						4	4	3	11
Bruges								11	11
Lyon		4	4		1		2		11
Toulouse	2	2	1	3			2		10
Derby				3	4	3			10
Barcelona			1	1				8	10
Borough Green						6		4	10
Clovelly			10						10
Whitby				10					10
Nantes	6	2	1						9
Arcachon						2	3	4	9
Hunsdon			2		7				9
Davos		2	2	2	3				9
Fraserburgh			2	1	2		4		9
Isle of Wight	9								9
Gleizé	2	3	1		2				8
Germantown		5		3					8
Grenoble	5		3						8
Horsham	1	3	4						8
Saint-Étienne	3					2	3		8
Bexleyheath	8								8
Méru	3	2	2	1					8
Genoa		3						5	8
Geraardsbergen			4	4					8
Great Yarmouth			3	4					7
Karlsruhe				7					7
Bath		4		2	1				7
Duffield				3	3	1			7
Rochester	6			1					7
Madrid						3		3	6
Steeton							4	2	6
Quimper		2	4						6
Newcastle upon Tyne							6		6
Brooklyn							5	1	6
Arbroath	4	2							6
Potsdam	2	4							6
Moscow	2					4			6
Charleroi								6	6
Châteaudun					6				6
Suresnes							2	4	6
Hove				2			3	1	6
Pierrepont-sur-Avre								6	6
Deventer	6								6
Velké Březno					6				6
Parthenay	6								6
Mantes-la-Jolie				2	1	1	2		6
Leuven			1		5				6
Amiens								6	6
Dijon				4	2				6
Moulins		3	3						6
Lausanne	2					1	3		6
Le Havre		2	4						6
Le Raincy		6							6
Ravenna							1	4	5
Springfield				2	3				5
Saint-Avertin		5							5
